Name,Skinport_URL,Steam_URL,Price,Currency,SalesThisWeek,7d_avg,24h_avg,GrowthRatio,BullishScore,LastUpdated
★ StatTrak™ Karambit | Ultraviolet (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Ultraviolet%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Ultraviolet%20%28Minimal%20Wear%29,1317.13,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Karambit | Urban Masked (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Urban%20Masked%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Urban%20Masked%20%28Battle-Scarred%29,880.12,USD,1,707.27,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Karambit | Urban Masked (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Urban%20Masked%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Karambit%20%7C%20Urban%20Masked%20%28Minimal%20Wear%29,818.84,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife,https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife,289.11,USD,2,274.47,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Blue Steel (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Battle-Scarred%29,193.50,USD,1,176.07,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Blue Steel (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Field-Tested%29,233.10,USD,1,205.02,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Blue Steel (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29,277.58,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Boreal Forest (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Boreal%20Forest%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Boreal%20Forest%20%28Field-Tested%29,234.53,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Crimson Web (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Battle-Scarred%29,234.54,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Crimson Web (Field-Tested),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Field-Tested%29,227.35,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Crimson Web (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29,409.27,USD,1,269.72,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Crimson Web (Well-Worn),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Well-Worn%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Crimson%20Web%20%28Well-Worn%29,258.50,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Fade%20%28Factory%20New%29,504.26,USD,3,447.73,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
★ StatTrak™ Kukri Knife | Fade (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Fade%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Kukri%20Knife%20%7C%20Fade%20%28Minimal%20Wear%29,563.60,USD,0,0.00,0.00,0.000,0.0000,2025-09-13T22:00:06.478782+00:00
